id,Titulo,Autor,Ubicacion,Colección
000037774,El hijo del carpintero,"Capo, Jesús",863/CAP/hi,LITGE
000037984,La pasíon de Iñaki,"Rodríguez Elizondo, José",Ch863/ROD/pa,LITCH
000038212,Los amigos de Ernestina,"Flores, Enriqueta",Ch863/FLO/am,LITCH
000038901,Mujeres de ojos grandes,"Mastretta, Angeles",M863/MAS/mu,LITGE
000038937,Sobre héroes y tumbas,"Sabato, Ernesto",A863/SAB/so,LITGE
000039056,Maradentro,"Blanco, Marta",Ch863/BLA/ma,LITCH
000039164,La novela de Galvarino y Elena,"Varas Calvo, José Miguel",Ch863/VAR/no,LITCH
000039286,En voz baja,"Costamagna, Alejandra",Ch863/COS/en,LITCH
000039372,La ciudad de oro y de plomo,"Christopher, John",823/ChR/ci,LITGE
000039621,Cuentos extraviados,Concurso de Cuentos de Revista Paula Santiago,Ch863.008/CON/cu,LITGE
000039657,Donoso 70 Años,Coloquio Internacional de Escritores,Ch863/DON,LITCH
000039665,En el camino,"Kerouac, Jack",813/KER/en,LITGE
000039680,El lugar donde estuvo el paraíso,"Franz, Carlos",Ch863/FRA/lu,LITCH
000039916,El estanque de fuego,"Christopher, John",823/ChR/es,LITCH
000040251,El nadador,"Contreras, Gonzalo",Ch863/CON/na,LITGE
000040336,"Literatura chilena, apuntes de un tiempo : 1970-1995","Quezada, Jaime",Ch860.9004/QUE/li,LITCH
000040411,Caracol Beach,"Alberto, Eliseo",CU863/ALB/ca,LITGE
000040444,"Margarita, está linda la mar","Ramírez, Sergio",N863/RAM/ma,LITGE
000040499,Caracol Beach,"Alberto, Eliseo",Cu863/ALB/ca,LITCH
000040542,Uñas de muerto,"Uribe Etxeverría, Juan Pablo",Ch863/URI/uñ,LITCH
000040880,Vivir no es nada nuevo,"Azócar, Pablo",Ch863/AZO/vi,LITCH
000040895,Armonia rota,"Wood, Barbara",813/WOD/ar,LITGE
000040943,El estanque de fuego,"Christopher, John",823/ChR/es,LITGE
000041033,Mil soles,"Lapierre, Dominique",843/LAP/mi,LITGE
000041110,Luna de locos,"Kempff Suárez, Manfredo",B863/KEM/lu,LITGE
000041112,La desesperanza,"Donoso, José",Ch863/DON/de,LITCH
000041166,Queridos monstruos : (10 cuentos para ponerte los pelos de punta),"Bornemann, Elsa",A863/BOR/qu,INFAN
000041214,Diario de un killer sentimental ; Seguido de Yacaré,"Sepúlveda, Luis",Ch863/SEP/di,LITCH
000041376,El Patito feo,"Andersen, H. C., Hans Christian",839.813/AND/pa,INFAN
000041388,De aquí y de allá : cuentos,"Padilla Contreras, Iris",Ch863/PAD/aq,LITCH
000041412,Queso de cabeza y otros cuentos,Concurso de Cuentos de Revista Paula Santiago,Ch863.008/CON/qu,LITCH
000041458,De compras,"Colella, Olga",649-68/COM,INFAN
000041717,Teatro chileno contemporáneo,"Heiremans, Luis Alberto",Ch862/HEI/te,LITCH
000042433,Cuando éramos inmortales,"Fontaine Talavera, Arturo",Ch863/FON/cu,LITGE
000042555,El chileno de maleta,"Romero, Graciela",Ch867/ROM/Ch,LITCH
000042697,La muerte y la doncella,"Dorfman, Ariel",Ch862/DOR/mue,LITGE
000042792,Santiago oscuro,"Puente, Rodrigo",Ch863/PUE/sa,LITCH
000043115,Teatro selecto de Daniel Barros Grez,"Barros Grez, Daniel",Ch862/BAR/te,LITCH
000043212,El peor de los héroes,"Brodsky, Roberto",Ch863/BRO/pe,LITCH
000043324,Diez obras de fin de siglo,"Griffero, Ramón",Ch862/GRI/di,LITCH
000043786,El gigante egoísta y otros cuentos,"Wilde, Oscar",823/WIL/fan,LITGE
000043865,Cuentos campesinos,"Sepúlveda Llanos, Fidel, comp",Ch863/SEP/cu,LITCH
000043932,La niña azul,"Rosasco, José Luis",Ch863/ROS/ni,LITCH
000044318,Desafueros : ocho cuentos para desnudar a los políticos,"Rojas, Alejandra",Ch863/ROJ/de,LITCH
000044482,Matilda,"Dahl, Roald",823/DAH/ma,LITGE
000044811,Trenes nocturnos,"Wood, Barbara",823/W873/,LITGE
000044925,Santo Roto,"Sutherland, Juan Pablo",Ch863/SUT/sa,LITCH
000045288,Todo el amor en sus ojos,"Muñoz Valenzuela, Diego",Ch863/MUÑ/to,LITCH
000045353,"Tierra, indio, mujer : pensamiento social de Gabriela Mistral","Figueroa, Lorena",Ch863/FIG/ti,LITCH
000045929,Un Saco de huesos,"King, Stephen",813/KIN/sa,LITGE
000046073,Chile : con el voto a dos manos,"Romero, Graciela",Ch867/ROM/ch,LITGE
000046074,A patadas con la web : internet para principiantes,"Romero, Graciela",Ch867/ROM/ap,LITCH
000046077,Escenario de guerra,"Jeftanovic, Andrea",Ch863/JEF/es,LITCH
000046090,Novelas enanas,"Parra, Marco Antonio de la",Ch863/PAR/no,LITCH
000046091,Dama en el jardín,"Rivas, Carolina",Ch863/RIV/da,LITCH
000046151,El sol de Breda,"Pérez-Reverte, Arturo",863/PER/so,LITGE
000046424,Todos los cuentos,"Quiroga, Horacio",U863/QUI/to,LITGE
000046481,La temible niñasaurio,"Bottner, Barbara",823/BOT/te,INFAN
000046492,La sombra del corregidor : novela de los tiempos coloniales,"Zañartu, Sady",Ch863/ZAÑ/so,LITCH
000046548,Veronika decide morir,"Coelho, Paulo",B869.3/COE/ve,LITGE
000046593,Caballo de Troya 6 : Hermón,"Benítez, J. J",863/BEN/ca,LITGE
000047046,Condorito de oro,Pepo,741.5983/CON,COMIC
000048034,Fausto,"Goethe, Johann Wolfgang von",832/GOE/fa,LITGE
000048354,La práctica de la escritura,"Cavallari, Héctor Mario",H860/CAV/pr,LITGE
000048666,Conjeturas sobre la memoria de mi tribu,"Donoso, José",Ch863/DON/nu,LITCH
000048951,Versos por fusilamiento,"Salinas Campos, Maximiliano A., comp",Ch861.008/VER/fu,LITCH
000049033,Un enano con problemas,"Alliende, Felipe",Ch863/ALL/ena,INFAN
000049074,"Paolo, pintor renacentista","Balcells, Jacqueline",Ch863/BAL/pa,LITCH
000049249,"Judit, guerrera de la fe","Balcells, Jacqueline",Ch863/BAL/ju,JUVEN
000049376,Alberto Blest Gana y su obra,"Poblete Varas, Hernán",Ch863/POB/al,LITCH
000049457,La profetisa,"Wood, Barbara",823/WOO/pr,LITGE
000049478,París en el siglo XX,"Verne, Jules",843/VER/pa,LITGE
000049626,Federico futbolista,"Wilhelm, Hans",833/WIL/fe,LITGE
000050576,El manifiesto negro,"Forsyth, Frederick",823/FOR/emn,LITGE
000050827,Cuando los políticos eran inteligentes,"Lafourcade, Enrique",Ch867/LAF/cu,LITCH
000051015,Cuando era muchacho,"González Vera, José Santos, u -",Ch863/GON/cu,LITCH
000051064,Antología subjetiva,"Díaz, Jorge",Ch862/DIA/an,LITCH
000051282,El Lazarillo de Tormes,Anónimo,863/LAZ,LITGE
000051800,Pulp,"Bukowski, Charles",813/BUK/pu,LITGE
000052137,Butamalón,"Labarca Goddard, Eduardo",Ch863/LAB/bu,LITCH
000052152,Plenilunio,"Muñoz Molina, Antonio",863/MUÑ/pl,LITGE
000052218,La Guerra de Chile,"Ferrecio Podestá, Mario",Ch861/GUE,LITCH
000052326,La ley del amor,"Esquivel, Laura",M863/ESQ/le,LITGE
000052584,El Cáliz de plata : novela,"Costain, Thomas Bertram",813/COS/ca,LITGE
000052883,El caos Omega,"Ludlum, Robert",813/LUD/ca,LITGE
000053292,Las aventuras de Arturo Gordon Pym,"Poe, Edgar Allan",813/POE/av,LITGE
000053346,El pirata,"Robbins, Harold",813/ROB/pi,LITGE
000053973,Rimas para Paulina adivinanzas para Constanza,"Jaque Herrera, Iliana",Ch863/JAQ/ri,LITCH
000054300,Pájaro rojo de Irlanda,"Gordon Langford, Sandra",813/GOR/pa,LITGE
000054321,Una ciudad flotante : [y] Una invernada entre los hielos,"Verne, Jules",843/VER/ci,LITGE
000054354,Se busca una mujer,"Bukowski, Charles",813/BUK/bu,LITGE
000054359,La esfera media del aire,"Río, Ana María del",Ch863/RIO/es,LITGE
000054395,Del sentimiento trágico de la vida,"Unamuno, Miguel de",864/UNA/se,LITGE
000054545,Hamlet : Príncipe de Dinamarca,"Shakespeare, William",822/SHA/ha,LITGE
000054779,Don Juan Tenorio,"Zorrilla, José",863/ZOR/do,LITGE
000055505,Libro de buen amor,"Ruiz, Juan, Fl",861/RUI/li,LITGE
000055937,Ecos urbanos : antología,"Costamagna, Alejandra",Ch863/URB/an,LITCH
000055953,Para ver y no creer,"Montt, Alberto",Ch863/MON/pa,INFAN
000055963,El secuestro de la bibliotecaria,"Mahy, Margaret",823/MAH/se,LITGE
000055991,Epifanía de una sombra,"Wacquez, Mauricio",Ch863/WAC/ep,LITCH
000056022,Cien anõs de teatro (1900-2000),"Sáez,Fernando",Ch862/SAE/ci,LITCH
000056055,La mujer del policía,"Gómez, Sergio",Ch863/GOM/mu,LITCH
000056128,Noches de radio : (Escucha Chile),"Teitelboim, Volodia",Ch868/TEI/no,LITCH
000056145,Historias marginales,"Sepúlveda, Luis",Ch863/SEP/hma,LITCH
000056148,Un viejo que leía novelas de amor,"Sepúlveda, Luis",Ch863/SEP/vi,LITCH
000056290,La mirada del espejo,"Calderón, Alfonso",Ch861/CAL/mi,LITGE
000056407,El collar de perlas negras,"Peña Muñoz, Manuel",Ch863/PEÑ/co,LITGE
